School,Pace,3PAr,TRB%,STL%,TOV%,ORB%
Virginia Tech NCAA,63.5,.415,51.5,8.4,14.9,28.1
Virginia,60.2,.297,50.0,9.6,14.3,28.0
Wagner,68.3,.300,53.6,12.0,15.4,33.9
Wake Forest,71.0,.420,52.4,8.8,16.9,27.1
Washington State,67.4,.443,51.2,9.4,14.1,33.2
Washington,70.4,.329,46.2,11.6,14.5,29.3
Weber State,71.1,.377,49.0,10.7,15.0,20.7
West Virginia,68.5,.337,47.2,11.4,15.7,29.9
Western Carolina,69.3,.511,50.0,7.0,15.2,29.4
Western Illinois,72.4,.409,52.2,8.5,13.6,29.2
Western Kentucky,71.0,.369,48.8,11.9,15.3,24.6
Western Michigan,66.5,.454,47.9,7.9,17.9,26.6
Wichita State,67.8,.414,51.5,11.0,16.1,32.3
William & Mary,69.9,.390,49.7,9.3,20.2,26.9
Winthrop,69.3,.429,52.0,9.2,18.7,26.7
Wisconsin NCAA,67.1,.361,50.2,7.9,11.2,25.9
Wofford,65.6,.485,53.0,10.5,15.7,28.3
Wright State NCAA,69.8,.326,51.3,8.3,15.4,31.4
Wyoming NCAA,66.3,.431,52.0,5.8,15.0,25.5
Xavier,69.2,.359,51.8,10.8,14.4,29.3
Yale NCAA,70.3,.363,50.4,8.8,16.1,25.7
Youngstown State,67.5,.379,51.7,7.9,14.9,30.9
